"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11899","should successfully upload JPEG file","chromium","2026-02-06","passed","2026-02-06","Bulk Scanning e2e","","",""
"","17823","Validate RCM Dashboard visibility for practices with and without permissions","chromium","2026-02-06","passed","2026-02-06","RCM Dashboard E2E","","",""
"","20479","TC5-6: Select file, verify fields enabled, and search patient","chromium","2026-02-06","passed","2026-02-06","Bulk Scanning e2e","","",""
"","14490","Validate error message when iframe fails to load","chromium","2026-02-06","passed","2026-02-06","RCM Dashboard E2E","","",""
"","50124","Complete patient registration workflow - Private patient","chromium","2026-02-06","passed","2026-02-06","Patient Registration E2E","","",""
"","14152","TC4: Validate file size limit (>1050KB)","chromium","2026-02-06","passed","2026-02-06","Bulk Scanning e2e","","",""
"","13768","should successfully upload JFIF file","chromium","2026-02-06","passed","2026-02-06","Bulk Scanning e2e","","",""
"","44267","Patient registration workflow - EPS patient","chromium","2026-02-06","passed","2026-02-06","Patient Registration E2E","","",""
"","10292","should successfully upload GIF file","chromium","2026-02-06","passed","2026-02-06","Bulk Scanning e2e","","",""
"","8160","TC1-2: Verify 5 fields are disabled initially","chromium","2026-02-06","passed","2026-02-06","Bulk Scanning e2e","","",""
"","17170","TC3: Upload valid document types","chromium","2026-02-06","passed","2026-02-06","Bulk Scanning e2e","","",""
"","44089","Patient registration workflow - Worker Comp patient","chromium","2026-02-06","passed","2026-02-06","Patient Registration E2E","","",""
"","13572","should successfully upload JPG file","chromium","2026-02-06","passed","2026-02-06","Bulk Scanning e2e","","",""
"","30161","TC8: Search patient by Last Name and DOB","chromium","2026-02-06","broken","2026-02-06","Bulk Scanning e2e","","",""
"","33821","TC9: Associate document to Patient via +Pat Docs","chromium","2026-02-06","passed","2026-02-06","Bulk Scanning e2e","","",""
"","12924","should successfully upload PDF file","chromium","2026-02-06","passed","2026-02-06","Bulk Scanning e2e","","",""
"","13223","should successfully upload TIFF file","chromium","2026-02-06","passed","2026-02-06","Bulk Scanning e2e","","",""
"","11087","should successfully upload PNG file","chromium","2026-02-06","passed","2026-02-06","Bulk Scanning e2e","","",""
"","15432","should successfully upload TIF file","chromium","2026-02-06","passed","2026-02-06","Bulk Scanning e2e","","",""
